State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.24150	3.25198	3.27250	3.28997	3.30962	3.30351	3.28735	3.28036	3.26945	3.28255	3.25766	3.20351	3.15897	3.10613	3.04630	2.94324	2.86770	2.77905	2.71573	2.63582	2.58778
2	1.40743	1.40225	1.39125	1.36149	1.33237	1.30390	1.29225	1.24372	1.23142	1.17189	1.13112	1.13630	1.13047	1.10330	1.08453	1.08971	1.07288	1.07094	1.05671	1.06124	1.05088
3	2.59126	2.51705	2.56343	2.57889	2.48303	2.47685	2.44593	2.52323	2.41191	2.34079	2.19546	2.14289	2.05013	2.06249	1.96045	1.86459	1.92025	1.92644	1.94499	1.90170	1.82749
4	1.18203	1.20674	1.18652	1.23371	1.24045	1.25394	1.27866	1.35057	1.39776	1.45618	1.48540	1.45843	1.44270	1.38877	1.40450	1.44944	1.48989	1.47191	1.54382	1.56180	1.50113
5	1.14184	1.15553	1.13089	1.10761	1.17333	1.21988	1.21166	1.23905	1.26232	1.27875	1.23083	1.28286	1.26506	1.27190	1.34036	1.33762	1.32119	1.33215	1.29107	1.35268	1.35131
6	3.84918	3.70503	3.61153	3.42063	3.37388	3.32323	3.33492	3.14791	3.01935	2.81676	2.81286	2.78169	2.75053	2.77390	2.84403	2.92584	2.94922	2.99987	2.92584	2.90247	3.03493
7	1.84193	1.86286	1.74425	1.81402	1.77216	1.76518	1.91170	2.19078	2.22566	2.19775	2.51869	2.54660	2.56056	2.53265	2.44892	2.49776	2.26752	2.34427	2.51869	2.44195	2.39311
8	0.94630	0.94753	0.94859	0.94974	0.94736	0.94780	0.95159	0.95521	0.96007	0.96916	0.98320	0.99097	1.00553	1.01895	1.02707	1.04341	1.05780	1.06980	1.08163	1.09364	1.10494
9	3.93518	3.93070	3.96208	4.01586	4.06068	4.11894	4.02931	3.86347	3.81417	3.72453	3.59903	3.55421	3.38390	3.36597	3.34356	3.25392	3.26289	3.25840	3.24048	3.22255	3.20462
10	0.35870	0.35940	0.35975	0.36071	0.36202	0.36341	0.36454	0.36611	0.36838	0.37012	0.37125	0.37413	0.37761	0.38005	0.38432	0.38850	0.39173	0.39565	0.39765	0.39957	0.40192
