State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.88805	0.82869	0.77820	0.70535	0.63983	0.57392	0.50801	0.44942	0.41165	0.39392	0.39083	0.39777	0.41165	0.42861	0.45482	0.51186	0.59280	0.70998	0.82638	0.94702	1.05841
2	1.52271	1.42047	1.23941	1.03722	0.85731	0.70367	0.61913	0.55859	0.52261	0.50947	0.52889	0.53289	0.54488	0.58030	0.63284	0.81676	1.23313	1.86483	2.48853	3.06540	3.49834
3	4.72446	5.21574	5.79981	6.10004	5.71247	4.76267	3.41438	2.58467	2.21075	2.03335	2.07429	2.38543	2.99953	4.36146	7.94779	13.43100	17.33939	18.35743	17.52499	15.74820	13.92501
4	1.45786	1.45588	1.50745	1.57489	1.58877	1.59076	1.66811	1.62844	1.54514	1.31703	1.02943	0.96992	0.86877	0.85092	0.81125	0.85687	0.85885	0.88067	0.92034	0.92232	0.96001
5	1.80058	2.00481	2.23925	2.70692	3.40177	4.15342	4.71656	4.51837	3.49724	3.44286	3.69542	2.27188	2.05556	1.92747	2.01689	1.94801	1.86584	1.63261	1.38004	1.20844	1.11781
6	4.46348	5.35755	6.79151	8.98542	12.84025	18.62421	26.34762	35.14391	43.24902	45.41198	45.43261	49.96143	48.86791	45.88653	39.24632	29.05390	19.54923	12.68207	8.58653	6.08657	4.63886
7	2.24160	2.19849	2.14922	2.03838	2.07533	2.18002	1.89674	1.93984	2.29702	3.47325	3.18381	1.33634	0.96068	1.00995	1.09001	1.19470	1.20086	1.21317	1.21933	1.25012	1.34865
8	1.31688	1.28790	1.24894	1.18847	1.09177	0.96039	0.80540	0.65587	0.55333	0.50135	0.48623	0.49317	0.51569	0.54577	0.58208	0.62829	0.67379	0.71751	0.75600	0.78631	0.80774
9	6.49578	7.00216	7.61534	8.42237	9.20961	10.02851	10.68521	11.32609	11.91158	12.65926	13.22498	13.08256	13.15377	13.01135	12.67904	12.23201	11.64257	10.79202	9.89005	8.96039	8.07028
10	0.26578	0.26393	0.26009	0.25732	0.25424	0.25001	0.24471	0.23994	0.23517	0.23148	0.23048	0.23040	0.23194	0.23340	0.23402	0.23571	0.23755	0.24125	0.24309	0.24594	0.24840
