State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	7.96186	0.42400	3.53063	2.17796	3.25712	0.39085	0.63384	0.24611
2	5.37295	0.57213	1.56577	2.27598	1.13059	0.52891	1.09791	0.10260
3	1.12438	1.77744	2.15491	2.25198	2.19569	2.07435	6.52442	0.05296
4	1.54718	0.21766	1.23452	1.26604	1.48555	1.02946	1.26884	0.23333
5	2.53947	2.21105	1.18315	1.01401	1.23096	3.69554	2.56327	0.46111
6	0.89242	49.38131	7.46017	1.51891	2.81315	45.43057	21.98279	0.26439
7	0.49832	2.83111	1.79228	1.02058	2.51896	3.18391	1.86701	0.74563
8	39.38293	0.25659	0.84164	0.94530	0.98330	0.48625	0.85399	0.90589
9	0.77573	32.50300	4.64870	1.15913	3.59941	13.22538	10.76297	0.65115
10	39.90476	0.12032	0.29661	0.58572	0.37129	0.23049	0.26854	1.48124
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
