State (Emission order)	EP300	H3k27me3	H3k9me3	CTCF	H2az	H3k4me3	H3k4me2	H3k27ac	H3k4me1	H4k20me1	H3k79me2	H3k36me3
1	0.013766530272443941	0.003785841088483478	0.006171146394961901	0.009621256026883693	0.0015562429920013728	8.36892112316384E-4	4.310182034635204E-4	0.004922050736146667	0.0065592859114718075	0.015014563985932082	0.074782028287932	0.2188883796220853
2	0.020050667110328466	0.0049089013912038	0.0037546433577112515	0.013305737461966774	0.005309719434483107	0.0014649081908433943	0.003461602916490691	0.00940192734710093	0.02589137295985678	0.1553050628058935	0.8374019362407829	0.16044374164832603
3	0.03605034727390692	0.005340760377816701	0.0013377896018295652	0.04851557130430022	0.057388932460372924	0.2684725141744797	0.5186970258496977	0.5489036342425708	0.5815875372530227	0.3180855135830775	0.9089428055481215	0.19238344644780628
4	0.038308723609024306	0.004882580631597728	0.001284659858807456	0.058296062813605616	0.29853915010134713	0.18867865982480972	0.5558571550723925	0.9404292848240245	0.7251141573357825	0.016517167532746947	0.015059560063824704	0.03125957802830636
5	0.037084412582813385	0.010923061646796458	0.0027777740963506755	0.010980859774873182	0.24611202488136336	0.02132868739091283	0.13168557493745917	0.10711681899118139	0.3049674411075757	0.005280358983975058	0.011269112710264331	0.0035837335903687786
6	0.18991018120942907	0.018447378157748533	0.002681407673834313	0.1899936848183792	0.8324278761808025	0.9420211778570333	0.7360703562444069	0.4979948127592425	0.19293051958727386	0.029319653573035964	0.4206149249536498	0.0015821535520064945
7	0.09381170660183871	0.0244107779453976	0.005982084250278635	0.917060467073767	0.14330966501759584	0.020965787979647123	0.07669236671584645	0.009006958477984989	0.05859909307237668	0.016378485116476358	0.005502272730517793	0.012134291750922538
8	0.022191499592336964	0.034336013759220727	0.005968581086964302	0.0032769813872813186	0.008371779066911415	2.5239216623591234E-4	5.374755609718374E-16	1.0844755919971646E-5	4.765479797463297E-4	0.0010597604964352337	6.896049458292653E-4	0.0012356141300500798
9	0.6684381034708995	0.38042755693967933	0.05227017232876904	0.027003071115701948	0.08121985834992518	0.05322305195544731	0.023908509170470757	5.466463825992816E-4	0.006684141717698926	0.012389795708466076	0.005313704892369207	0.005783782818554038
10	0.011638415816180792	0.0038916504032698524	0.023116870050360224	0.0024249458966113377	9.467901927977496E-4	2.778764412685481E-4	6.998908543887479E-5	1.9339994405398047E-4	7.105579275084671E-5	3.8952792208383087E-4	2.4934133846468907E-5	2.1541367319753504E-4
