State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9575347374297369	0.023575126565776372	0.001730227165090051	0.003953975029417345	0.008654717525642336	9.231141645067443E-5	0.002084874713099079	0.0	5.377922880316703E-5	0.002320250925983944
2	0.0347880000326141	0.934067843936373	0.028165373454435837	2.9081144325458997E-4	0.0011275529262747706	6.510962406572795E-4	1.4466993129419166E-4	7.354211580667075E-4	2.9230877029538026E-5	0.0
3	0.01122177769246941	0.13510555540528174	0.7909814898514328	0.02448440267847703	0.0020608501719937182	0.03595411533972804	1.9174541921818642E-4	0.0	6.344139902002147E-8	0.0
4	0.020187614161571388	6.973618713950624E-4	0.017719503658941475	0.8052268765586109	0.14993828533868622	0.003530861457253655	0.0026600313139497826	0.0	0.0	3.946563959142773E-5
5	0.022181997280744003	0.0027733468304781722	7.868959959134806E-4	0.07380976555615595	0.6138280678577077	0.028788021265377196	0.007796113948060784	0.24602502603934992	8.634944327012754E-5	0.0039244157829424154
6	9.022214205925838E-4	0.00365606895522089	0.04672130302196124	0.006050597372911124	0.09851762960160029	0.8083184053809132	0.014370332347895509	0.007883679329389687	0.012257736334797011	0.001322026234718443
7	0.02909848175810898	0.0018201731942261337	5.009488586581845E-4	0.007001420207365046	0.04529843459116146	0.02279041779049128	0.511805259803209	0.34526070977553036	0.003968069395840725	0.03245608462540887
8	0.0	0.0	0.0	0.0	0.019995250208971048	2.1762947820654226E-4	0.005084797038787262	0.9718756557291259	0.0016744860013746914	0.001152181543534599
9	4.048720840173972E-4	1.7010145162808186E-4	0.0	5.38359383923597E-6	6.36449892399511E-4	0.013057848860187394	0.0032942444500305445	0.07679854468430929	0.8981428806968557	0.007489674286732908
10	4.568383618929144E-4	0.0	0.0	3.832425627768409E-6	2.983128306607368E-4	1.8400562190495627E-5	4.398952589579328E-4	0.0011246542973324717	1.600700791262199E-4	0.9974979961842114
